"0.5"	"1"	"1.5"	"2"	"2.5"	"3"	"3.5"	"4"	"4.5"	"5"	"5.5"	"6"	"6.5"	"7"	"7.5"	"8"	"8.5"	"9"	"9.5"	"10"	"10.5"	"11"	"11.5"	"12"
"25798"	"12"	"26"	"15"	"17"	"14"	"56"	"16"	"15"	"9"	"48"	"128"	"128"	"19"	"220"	"35"	"79"	"83"	"87"	"44"	"77"	"90"	"96"	"103"	"116"
"112744"	"12"	"28"	"51"	"7"	"23"	"118"	"145"	"118"	"8"	"170"	"42"	"109"	"120"	"135"	"152"	"284"	"273"	"77"	"225"	"208"	"220"	"233"	"258"	"276"
"3250"	"12"	"26"	"46"	"13"	"76"	"91"	"58"	"78"	"83"	"157"	"107"	"122"	"132"	"93"	"170"	"187"	"204"	"314"	"218"	"433"	"83"	"268"	"294"	"123"
"8600"	"12"	"24"	"31"	"32"	"7"	"94"	"37"	"86"	"133"	"72"	"79"	"94"	"99"	"111"	"124"	"143"	"151"	"57"	"56"	"170"	"177"	"77"	"79"	"86"
"174"	"12"	"21"	"46"	"13"	"76"	"91"	"58"	"123"	"125"	"142"	"165"	"180"	"203"	"231"	"268"	"294"	"301"	"321"	"347"	"355"	"389"	"404"	"452"	"466"
"3213"	"12"	"15"	"10"	"5"	"31"	"66"	"34"	"79"	"24"	"23"	"39"	"157"	"176"	"29"	"92"	"104"	"112"	"50"	"49"	"318"	"353"	"145"	"335"	"73"
"139628"	"12"	"15"	"10"	"5"	"31"	"66"	"34"	"79"	"24"	"82"	"88"	"101"	"107"	"121"	"141"	"154"	"168"	"174"	"179"	"192"	"202"	"491"	"323"	"13"
"10178"	"12"	"17"	"34"	"36"	"48"	"19"	"29"	"47"	"42"	"81"	"87"	"64"	"106"	"255"	"221"	"290"	"296"	"259"	"341"	"349"	"386"	"288"	"447"	"214"
"406883"	"12"	"24"	"7"	"56"	"27"	"30"	"44"	"53"	"2"	"4"	"4"	"4"	"80"	"89"	"5"	"14"	"13"	"13"	"12"	"12"	"12"	"18"	"13"	"20"
"57623"	"12"	"13"	"25"	"42"	"6"	"49"	"103"	"50"	"138"	"52"	"74"	"208"	"27"	"199"	"198"	"113"	"50"	"144"	"292"	"418"	"449"	"474"	"516"	"314"
"9536"	"12"	"35"	"3"	"22"	"56"	"68"	"120"	"80"	"84"	"93"	"103"	"118"	"263"	"132"	"166"	"182"	"360"	"207"	"422"	"473"	"509"	"544"	"883"	"303"
"474"	"12"	"13"	"13"	"4"	"77"	"85"	"55"	"78"	"173"	"41"	"115"	"104"	"129"	"77"	"157"	"169"	"183"	"194"	"222"	"214"	"429"	"242"	"501"	"520"
"27175"	"12"	"13"	"13"	"4"	"11"	"4"	"9"	"5"	"1"	"2"	"2"	"3"	"15"	"2"	"1"	"8"	"242"	"251"	"269"	"281"	"310"	"321"	"458"	"15"
"83879"	"12"	"13"	"13"	"7"	"22"	"24"	"6"	"27"	"132"	"55"	"22"	"28"	"25"	"24"	"33"	"315"	"136"	"68"	"74"	"183"	"191"	"539"	"577"	"307"
"1791"	"12"	"15"	"46"	"13"	"46"	"91"	"110"	"113"	"119"	"137"	"158"	"154"	"172"	"236"	"224"	"283"	"291"	"312"	"331"	"341"	"375"	"450"	"498"	"460"
"6469"	"12"	"21"	"46"	"13"	"76"	"91"	"22"	"20"	"137"	"155"	"181"	"193"	"118"	"134"	"150"	"162"	"177"	"184"	"190"	"205"	"217"	"231"	"42"	"271"
"2138"	"12"	"15"	"10"	"5"	"31"	"66"	"34"	"79"	"24"	"133"	"159"	"174"	"195"	"10"	"258"	"71"	"75"	"12"	"287"	"139"	"328"	"344"	"428"	"393"
"8909"	"12"	"26"	"15"	"19"	"10"	"8"	"12"	"10"	"126"	"144"	"7"	"9"	"108"	"266"	"139"	"284"	"160"	"425"	"462"	"155"	"376"	"388"	"453"	"467"
"1846"	"12"	"28"	"39"	"7"	"77"	"92"	"48"	"81"	"124"	"141"	"164"	"178"	"201"	"230"	"255"	"109"	"99"	"36"	"391"	"353"	"388"	"402"	"451"	"464"
"10371"	"12"	"26"	"51"	"53"	"89"	"15"	"24"	"107"	"31"	"34"	"18"	"108"	"21"	"20"	"28"	"36"	"40"	"39"	"138"	"162"	"75"	"280"	"50"	"197"
"7546"	"12"	"34"	"51"	"62"	"80"	"107"	"26"	"23"	"17"	"18"	"20"	"26"	"253"	"284"	"326"	"350"	"364"	"394"	"427"	"446"	"5"	"8"	"553"	"583"
"219736"	"12"	"24"	"35"	"22"	"68"	"13"	"111"	"120"	"7"	"59"	"183"	"114"	"170"	"246"	"270"	"30"	"344"	"80"	"348"	"311"	"82"	"149"	"163"	"176"
"7423"	"12"	"28"	"46"	"13"	"76"	"91"	"58"	"123"	"125"	"142"	"108"	"124"	"135"	"11"	"100"	"101"	"107"	"30"	"165"	"181"	"124"	"137"	"147"	"164"
"406892"	"12"	"24"	"31"	"32"	"42"	"72"	"86"	"89"	"85"	"94"	"105"	"119"	"130"	"55"	"59"	"66"	"69"	"163"	"167"	"182"	"190"	"202"	"218"	"238"
"23040"	"12"	"28"	"42"	"54"	"92"	"116"	"142"	"152"	"128"	"190"	"170"	"230"	"209"	"237"	"274"	"302"	"311"	"332"	"357"	"367"	"406"	"423"	"466"	"483"
"7412"	"12"	"24"	"36"	"50"	"81"	"95"	"117"	"85"	"136"	"154"	"180"	"192"	"223"	"251"	"290"	"313"	"327"	"345"	"375"	"389"	"422"	"443"	"488"	"506"
"4826"	"12"	"26"	"31"	"17"	"28"	"32"	"41"	"37"	"9"	"63"	"128"	"142"	"157"	"179"	"203"	"222"	"239"	"249"	"263"	"276"	"303"	"313"	"352"	"365"
"7424"	"12"	"28"	"46"	"13"	"76"	"91"	"58"	"123"	"125"	"142"	"108"	"124"	"135"	"11"	"100"	"101"	"107"	"30"	"165"	"181"	"124"	"137"	"147"	"164"
"3488"	"12"	"21"	"46"	"13"	"76"	"91"	"58"	"123"	"125"	"142"	"165"	"180"	"203"	"231"	"268"	"294"	"301"	"321"	"347"	"355"	"389"	"404"	"452"	"466"
"27121"	"12"	"28"	"27"	"40"	"57"	"34"	"83"	"42"	"89"	"97"	"68"	"125"	"87"	"95"	"107"	"196"	"211"	"222"	"228"	"245"	"262"	"406"	"307"	"329"
"407047"	"12"	"24"	"7"	"56"	"27"	"30"	"44"	"53"	"2"	"4"	"4"	"4"	"80"	"89"	"5"	"14"	"13"	"13"	"12"	"12"	"12"	"18"	"13"	"20"
"54596"	"12"	"15"	"18"	"55"	"92"	"47"	"132"	"105"	"108"	"23"	"187"	"96"	"151"	"35"	"353"	"243"	"57"	"309"	"245"	"274"	"300"	"174"	"448"	"80"
"4916"	"12"	"30"	"27"	"39"	"86"	"48"	"62"	"137"	"147"	"173"	"173"	"158"	"177"	"198"	"281"	"251"	"264"	"422"	"260"	"476"	"508"	"549"	"539"	"406"
"63973"	"12"	"15"	"10"	"5"	"5"	"3"	"39"	"33"	"29"	"28"	"34"	"92"	"136"	"108"	"175"	"141"	"147"	"150"	"153"	"164"	"174"	"185"	"200"	"222"
"27123"	"12"	"28"	"27"	"40"	"57"	"34"	"83"	"42"	"89"	"97"	"68"	"125"	"87"	"95"	"107"	"196"	"211"	"222"	"228"	"245"	"262"	"406"	"307"	"329"
"101"	"12"	"26"	"15"	"17"	"14"	"56"	"16"	"15"	"9"	"48"	"128"	"193"	"118"	"134"	"150"	"162"	"177"	"184"	"190"	"205"	"217"	"231"	"6"	"245"
"3605"	"12"	"28"	"51"	"7"	"23"	"118"	"145"	"118"	"8"	"170"	"42"	"109"	"120"	"135"	"152"	"284"	"273"	"77"	"225"	"208"	"220"	"233"	"258"	"276"
