"A"	"B"	"nab"	"expected_nab"	"pvalue"	"adjusted_p"	"conclusion"
"MB05"	"MONDO_0021001"	3	0.3815	0.00596064071974055	0.0170862577535364	"Overenrichment"
"MB05"	"MONDO_0010421"	0	0.0694	0.931842059100551	0.9638217303004	"No enrichment"
"MB05"	"MONDO_0007154"	9	4.8205	0.0766215939165217	0.15708167889263	"No enrichment"
"MB05"	"MONDO_0007052"	0	0.0694	0.931842059100551	0.9638217303004	"No enrichment"
"MB05"	"MONDO_0007709"	0	0.0694	0.931842059100551	0.9638217303004	"No enrichment"
"MB05"	"MONDO_0012116"	0	0.4855	0.610037485665202	0.913279826090076	"No enrichment"
"MB05"	"MONDO_0011429"	1	1.1098	0.982198925508246	0.985129516748	"No enrichment"
"MB05"	"MONDO_0007099"	0	0.3815	0.678202428864547	0.9638217303004	"No enrichment"
"MB05"	"MONDO_0011916"	0	0.0694	0.931842059100551	0.9638217303004	"No enrichment"
"MB05"	"MONDO_0008977"	0	0.0694	0.931842059100551	0.9638217303004	"No enrichment"
"MB05"	"MONDO_0008834"	0	0.0694	0.931842059100551	0.9638217303004	"No enrichment"
"MB05"	"MONDO_0009693"	4	0.971	0.0176915310069696	0.0455446188515212	"Overenrichment"
"MB05"	"MONDO_0009696"	0	0.0694	0.931842059100551	0.9638217303004	"No enrichment"
"MB05"	"MONDO_0009804"	5	0.4162	3.34552999414132e-05	0.000195062922940595	"Overenrichment"
"MB05"	"MONDO_0009067"	0	0.0694	0.931842059100551	0.9638217303004	"No enrichment"
"MB05"	"MONDO_0008114"	0	0.6936	0.493557933616676	0.76775941859311	"No enrichment"
"MB05"	"MONDO_0007743"	0	0.0694	0.931842059100551	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0007179"	68	78.0946	0.226016196975744	0.397621087272143	"No enrichment"
"MB06"	"MONDO_0016419"	51	30.2192	0.000340272890960862	0.00150429189023669	"Overenrichment"
"MB06"	"MONDO_0009282"	0	0.2037	0.812792102872135	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0009563"	10	0.6791	2.73719248352364e-10	3.88361401071374e-09	"Overenrichment"
"MB06"	"MONDO_0009711"	0	0.2037	0.812792102872135	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0007455"	37	35.8896	0.829891805287649	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0012173"	1	0.0679	0.0679083267823667	0.147568069636471	"No enrichment"
"MB06"	"MONDO_0021003"	9	3.0559	0.00446529424276001	0.0133561504728688	"Overenrichment"
"MB06"	"MONDO_0008233"	32	2.5126	1.25377611814511e-28	6.76419955098041e-27	"Overenrichment"
"MB06"	"MONDO_0008852"	16	1.1205	1.90792567990614e-15	4.72387264656647e-14	"Overenrichment"
"MB06"	"MONDO_0019200"	38	562.4847	1.32418142972258e-277	1.05212233597958e-274	"Underenrichment"
"MB06"	"MONDO_0019182"	66	203.4194	5.64403650438215e-35	4.88404743052476e-33	"Underenrichment"
"MB06"	"MONDO_0011679"	20	6.1117	4.53521519547395e-06	3.17102246467539e-05	"Overenrichment"
"MB06"	"MONDO_0012033"	0	0.0679	0.933243566645049	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0005090"	54	6.1457	1.77420646053195e-36	1.64963451755843e-34	"Overenrichment"
"MB06"	"MONDO_0008903"	43	25.1261	0.000769985967175602	0.00306442252296261	"Overenrichment"
"MB06"	"MONDO_0006277"	4	1.2563	0.0438510079485731	0.102915630899712	"No enrichment"
"MB06"	"MONDO_0011818"	4	1.3242	0.0523526570585396	0.120665143114883	"No enrichment"
"MB06"	"MONDO_0011338"	0	0.2037	0.812792102872135	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0007103"	3	0.4074	0.00735135286113086	0.0206262677387749	"Overenrichment"
"MB06"	"MONDO_0010908"	1	0.0679	0.0679083267823667	0.147568069636471	"No enrichment"
"MB06"	"MONDO_0014461"	4	0.2716	8.5253530492277e-05	0.000442730752526739	"Overenrichment"
"MB06"	"MONDO_0014207"	0	0.0679	0.933243566645049	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0007639"	0	8.6923	0.000139404303500013	0.000680666822676039	"Underenrichment"
"MB06"	"MONDO_0009180"	0	0.7809	0.451680190053703	0.714383796791416	"No enrichment"
"MB06"	"MONDO_0007796"	0	0.0679	0.933243566645049	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0023113"	91	31.102	3.28998560377708e-20	1.06498052507451e-18	"Overenrichment"
"MB06"	"MONDO_0013108"	17	3.9726	5.48120509728249e-07	4.80017360222935e-06	"Overenrichment"
"MB06"	"MONDO_0007263"	136	70.5568	1.86407169296828e-13	3.67764934459205e-12	"Overenrichment"
"MB06"	"MONDO_0008648"	17	9.1676	0.01663345199083	0.0430362256956348	"Overenrichment"
"MB06"	"MONDO_0008823"	3	0.2037	0.000741753746456924	0.00296701498582769	"Overenrichment"
"MB06"	"MONDO_0008185"	4	0.7809	0.00789370010501527	0.0220559267640133	"Overenrichment"
"MB06"	"MONDO_0007256"	26	13.8193	0.00251215273749959	0.00815004265989101	"Overenrichment"
"MB06"	"MONDO_0002629"	7	3.5991	0.0975340401490865	0.186940243619082	"No enrichment"
"MB06"	"MONDO_0013664"	1	0.1358	0.135663121020899	0.250094005003724	"No enrichment"
"MB06"	"MONDO_0008730"	3	0.2037	0.000741753746456924	0.00296701498582769	"Overenrichment"
"MB06"	"MONDO_0007187"	5	0.6451	0.000377525106462862	0.00165807509069619	"Overenrichment"
"MB06"	"MONDO_0011556"	7	0.5433	4.63954849516718e-07	4.12089978127654e-06	"Overenrichment"
"MB06"	"MONDO_0007216"	1	0.2377	0.236402377731385	0.414641136137328	"No enrichment"
"MB06"	"MONDO_0010011"	0	0.4754	0.61649030900667	0.919946269543844	"No enrichment"
"MB06"	"MONDO_0008199"	1	5.6024	0.0258274591358655	0.0638743613037534	"No enrichment"
"MB06"	"MONDO_0023122"	12	9.7448	0.452024649239821	0.714799246310121	"No enrichment"
"MB06"	"MONDO_0001056"	26	15.3812	0.0106246469044902	0.0288472860966899	"Overenrichment"
"MB06"	"MONDO_0008170"	30	12.3254	1.10482447162715e-05	7.18999693374628e-05	"Overenrichment"
"MB06"	"MONDO_0011962"	5	2.8861	0.231808829892481	0.40691086026517	"No enrichment"
"MB06"	"MONDO_0007817"	12	1.2223	1.38843317013434e-09	1.74101949884851e-08	"Overenrichment"
"MB06"	"MONDO_0014103"	4	0.2716	8.5253530492277e-05	0.000442730752526739	"Overenrichment"
"MB06"	"MONDO_0009958"	0	0.0679	0.933243566645049	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0008093"	14	6.2476	0.00585415733058043	0.0168085857652014	"Overenrichment"
"MB06"	"MONDO_0013767"	6	6.1457	0.998549124038146	0.998891993143344	"No enrichment"
"MB06"	"MONDO_0008566"	6	2.9201	0.0994038525628894	0.190190383406229	"No enrichment"
"MB06"	"MONDO_0011285"	5	0.4074	3.01979769579713e-05	0.000178935809228928	"Overenrichment"
"MB06"	"MONDO_0008296"	3	0.3056	0.00295776782956375	0.00939690688127487	"Overenrichment"
"MB06"	"MONDO_0007379"	0	0.0679	0.933243566645049	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0019588"	68	187.427	3.62970051731062e-28	1.86609308948793e-26	"Underenrichment"
"MB06"	"MONDO_0008345"	7	1.2563	0.000243080202881876	0.00111289731439895	"Overenrichment"
"MB06"	"MONDO_0008965"	1	0.0679	0.0679083267823667	0.147568069636471	"No enrichment"
"MB06"	"MONDO_0009960"	2	2.6145	0.770902474735822	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0004951"	63	7.5718	1.30197646325984e-40	1.38771637669403e-38	"Overenrichment"
"MB06"	"MONDO_0011060"	1	26.6201	3.75787354640389e-11	5.91780446767027e-10	"Underenrichment"
"MB06"	"MONDO_0007763"	22	5.8062	1.13008993946878e-07	1.09500954223471e-06	"Overenrichment"
"MB06"	"MONDO_0008667"	10	1.3582	7.1753326356786e-07	6.15430885533179e-06	"Overenrichment"
"MB06"	"MONDO_0001187"	12	5.7383	0.0182437986177855	0.0468009392190917	"Overenrichment"
"MB06"	"MONDO_0007390"	2	0.9847	0.332659847936291	0.558480036681364	"No enrichment"
"MB06"	"MONDO_0009857"	0	0.0679	0.933243566645049	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0008552"	1	0.0679	0.0679083267823667	0.147568069636471	"No enrichment"
"MB06"	"MONDO_0018874"	13	14.5324	0.708246762919087	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0008897"	0	0.2037	0.812792102872135	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0008297"	3	0.3056	0.00295776782956375	0.00939690688127487	"Overenrichment"
"MB06"	"MONDO_0010563"	0	0.0679	0.933243566645049	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0018138"	1	0.0679	0.0679083267823667	0.147568069636471	"No enrichment"
"MB06"	"MONDO_0011842"	2	0.6112	0.145019499986647	0.264607605403611	"No enrichment"
"MB06"	"MONDO_0005298"	15	1.4261	3.70610817545107e-12	6.40145957577911e-11	"Overenrichment"
"MB06"	"MONDO_0007551"	0	0.3735	0.683832402686779	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0007550"	0	0.1358	0.870939852161553	0.9638217303004	"No enrichment"
