"A"	"B"	"nab"	"expected_nab"	"pvalue"	"adjusted_p"	"conclusion"
"MB21"	"D04045"	0	0.1845	0.823975921194312	0.838689776929925	"No enrichment"
"MB21"	"D04537"	0	0.5535	0.559139330804771	0.722428445027102	"No enrichment"
"MB21"	"D11038"	1	0.1845	0.184498736310025	0.463456174597516	"No enrichment"
"MB21"	"D02934"	0	0.1845	0.823975921194312	0.838689776929925	"No enrichment"
"MB21"	"D04260"	0	1.107	0.312153018781674	0.574895077440058	"No enrichment"
"MB21"	"D00306"	0	0.1845	0.823975921194312	0.838689776929925	"No enrichment"
"MB21"	"D03591"	0	0.1845	0.823975921194312	0.838689776929925	"No enrichment"
"MB21"	"D00304"	0	0.1845	0.823975921194312	0.838689776929925	"No enrichment"
"MB21"	"D05092"	0	0.5535	0.559139330804771	0.722428445027102	"No enrichment"
"MB21"	"D10659"	0	1.107	0.312153018781674	0.574895077440058	"No enrichment"
"MB21"	"D09342"	0	0.4612	0.61609352310535	0.722428445027102	"No enrichment"
"MB21"	"D01202"	0	0.1845	0.823975921194312	0.838689776929925	"No enrichment"
"MB21"	"D04739"	0	0.2767	0.747900572652342	0.778297748719716	"No enrichment"
"MB21"	"D05482"	0	0.2767	0.747900572652342	0.778297748719716	"No enrichment"
"MB21"	"D10028"	0	0.1845	0.823975921194312	0.838689776929925	"No enrichment"
"MB21"	"D10444"	0	0.5535	0.559139330804771	0.722428445027102	"No enrichment"
"MB21"	"D06319"	0	0.1845	0.823975921194312	0.838689776929925	"No enrichment"
"MB21"	"D03971"	0	0.369	0.678819920855268	0.722428445027102	"No enrichment"
"MB21"	"D04768"	0	0.1845	0.823975921194312	0.838689776929925	"No enrichment"
"MB22"	"D09692"	6	2.7599	0.0456717112020554	0.211423648908513	"No enrichment"
"MB22"	"D01514"	15	55.198	3.57070756338869e-13	1.58301368643565e-11	"Underenrichment"
"MB22"	"D07961"	0	57.0379	0	0	"Underenrichment"
"MB22"	"D02106"	3	0.92	0.0429080940101058	0.203242281348005	"No enrichment"
"MB22"	"D00348"	4	1.6099	0.062036828827203	0.250107637762791	"No enrichment"
"MB22"	"D11138"	3	1.3799	0.166666916117051	0.448315277735077	"No enrichment"
"MB22"	"D07511"	9	4.5998	0.0314026106574274	0.171443215311018	"No enrichment"
"MB22"	"D02755"	5	2.7599	0.155585998261794	0.427806092398383	"No enrichment"
"MB22"	"D04318"	25	41.8585	0.00125379045273833	0.0141716675873353	"Underenrichment"
"MB22"	"D01691"	0	1.3799	0.208042366442964	0.484576004573855	"No enrichment"
"MB22"	"D01240"	6	2.7599	0.0456717112020554	0.211423648908513	"No enrichment"
"MB22"	"D09662"	33	35.8787	0.580094195252064	0.722428445027102	"No enrichment"
"MB22"	"D03546"	1	0.46	0.459983150800337	0.663373290973498	"No enrichment"
"MB22"	"D10305"	0	1.3799	0.208042366442964	0.484576004573855	"No enrichment"
"MB22"	"D11110"	0	12.8795	3.61460396836044e-07	7.76086269081157e-06	"Underenrichment"
"MB22"	"D04748"	0	0.46	0.59283834460341	0.722428445027102	"No enrichment"
"MB22"	"D07871"	57	35.8787	7.80335383710874e-05	0.00107363385551944	"Overenrichment"
"MB22"	"D11183"	0	0.46	0.59283834460341	0.722428445027102	"No enrichment"
"MB22"	"D10107"	9	4.5998	0.0314026106574274	0.171443215311018	"No enrichment"
"MB22"	"D01810"	3	1.3799	0.166666916117051	0.448315277735077	"No enrichment"
"MB22"	"D04793"	3	1.3799	0.166666916117051	0.448315277735077	"No enrichment"
"MB22"	"D09881"	0	2.7599	0.0430849865430711	0.203242281348005	"No enrichment"
"MB22"	"D11523"	2	1.3799	0.556927567406914	0.722428445027102	"No enrichment"
